Env	DistB73	SS	NSS	TS	INBRED	DTT_Inbred	PltYield_Inbred	TSLLEN_Inbred	TSLBCHCNT_Inbred	TSLANG_Inbred	PLTHT_Inbred	UPLFANG_Inbred	LFWDT_Inbred	LFLEN_Inbred	RPR_Inbred	STLKWDT_Inbred	10KWt_Inbred	CobDia_Inbred	KnlHgt_Inbred	EarLength_Inbred	CobWt_Inbred	TotKnlWt_Inbred	DTT_B73	PltYield_B73	TSLLEN_B73	TSLBCHCNT_B73	TSLANG_B73	PLTHT_B73	UPLFANG_B73	LFWDT_B73	LFLEN_B73	RPR_B73	STLKWDT_B73	10KWt_B73	CobDia_B73	KnlHgt_B73	EarLength_B73	CobWt_B73	TotKnlWt_B73	DTT_Hyb	PltYield_Hyb	TSLLEN_Hyb	TSLBCHCNT_Hyb	TSLANG_Hyb	PLTHT_Hyb	UPLFANG_Hyb	LFWDT_Hyb	LFLEN_Hyb	RPR_Hyb	STLKWDT_Hyb	10KWt_Hyb	CobDia_Hyb	KnlHgt_Hyb	EarLength_Hyb	CobWt_Hyb	TotKnlWt_Hyb	DTT_bph	PltYield_bph	TSLLEN_bph	TSLBCHCNT_bph	TSLANG_bph	PLTHT_bph	UPLFANG_bph	LFWDT_bph	LFLEN_bph	RPR_bph	STLKWDT_bph	10KWt_bph	CobDia_bph	KnlHgt_bph	EarLength_bph	CobWt_bph	TotKnlWt_bph
03M	1.65542303	0.252	0.516	0.232	Mo45	73	171.28	.	.	.	190	58	103	821	.	.	1.88	22.094	11.486	160.822	19.24	54.3	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	66	141.76	.	.	.	245	70	102.6	956.8	.	.	2.1	24.462	16.996	193.704	25.3	141.74	0.275	63.84539474	.	.	.	8.65	10.85	7.47	17.895	.	.	0.055	1.123065789	1.325171053	20.59488158	3.046315789	5.473026316
03M	1.57086564	0.152	0.838	0.01	Mo46	71	54.14	.	.	.	173	61	87	787.8	.	.	2.54	21.848	14.918	106.158	12.74	54.06	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	65	154.5	.	.	.	240	66	102.4	967.4	.	.	3.06	28.16	18.514	167.352	33	146.62	1.275	5.275394737	.	.	.	0.15	9.35	0.53	1.295	.	.	0.385	1.246065789	0.390828947	6.737118421	0.203684211	5.353026316
03M	1.62643549	0.002	0.996	0.002	MoG	83	.	.	.	.	132	75	110	660.6	.	.	1.9	25.12	13.165	88.45	15.85	26.3	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	67	150.74	.	.	.	254	62	128.6	950.6	.	.	2.14	28.146	17.796	179.634	29.84	150.7	4.725	.	.	.	.	20.35	2.35	10.97	62.305	.	.	0.065	0.389934211	0.485671053	15.59111842	1.351315789	8.526973684
03M	1.54419739	0.102	0.641	0.257	Mp339	80	8.15	.	.	.	124	65	99.2	573.2	.	.	1.95	20.6325	10.2425	105.15	11.075	7.875	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	70	121.38	.	.	.	260	73	110.2	955.6	.	.	2.8	25.722	18.968	159.752	21.48	121.32	3.225	17.71960526	.	.	.	24.35	7.35	5.57	106.005	.	.	0.09	1.853815789	1.946921053	7.241118421	1.036184211	17.73947368
03M	1.78058617	0.002	0.884	0.114	MS1334	62	14.92	.	.	.	143	57	67.6	661.4	.	.	1.46	19.998	11.22	148.205	12.86	14.54	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	60	157.32	.	.	.	227	49	91	851.8	.	.	2.84	25.456	17.836	197.188	35.46	154.8	5.775	14.33460526	.	.	.	14.85	11.35	10.23	61.905	.	.	0.155	2.171065789	1.458171053	14.28638158	0.143684211	14.40697368
03M	1.39759392	0.063	0.865	0.072	MS153	69	61.3	.	.	.	140	41	83.2	635.4	.	.	2.58	25.154	15.338	135.62	16.66	60.48	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	64	190.36	.	.	.	234	54	98.8	887.6	.	.	3.14	29.55	20.634	187.698	31.62	182.34	2.275	8.855394737	.	.	.	16.35	19.35	2.43	74.905	.	.	0.405	0.406934211	0.600828947	7.993881579	1.756315789	8.563026316
03M	1.5182219	0.002	0.997	0.001	MS71	67	47.42	.	.	.	130	70	76.8	718.2	.	.	2.26	21.156	10.718	153.406	30.92	47.4	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	63	135.26	.	.	.	225	73	95.2	886.4	.	.	2.3	26.648	17.53	168.272	26.02	133.66	3.275	1.915394737	.	.	.	21.35	4.85	5.63	33.505	.	.	0.245	1.592065789	1.709171053	16.88688158	8.886315789	2.023026316
03M	1.44548323	0.004	0.765	0.231	Mt42	60	26.26	.	.	.	121	31	58	545	.	.	1.6	21.874	10.9	134.032	11.02	26.26	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	61	139.78	.	.	.	230	53	96.8	812	.	.	2.04	26.692	16.646	190.65	26.84	139.44	6.775	8.664605263	.	.	.	25.85	24.35	15.03	120.105	.	.	0.085	1.233065789	1.618171053	7.199881579	1.063684211	8.546973684
03M	0.37776251	0.998	0.001	0.001	N192	64	32.12	.	.	.	141	65	83	658.6	.	.	1.26	23.75	11.054	145.324	14.12	31.56	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	65	63	.	.	.	195	74	86.4	911.8	.	.	1.76	25.186	14.058	137.256	15.56	63.02	4.775	5.734605263	.	.	.	15.85	7.35	2.53	63.305	.	.	0.255	0.295065789	1.541171053	12.84588158	0.486315789	5.896973684
03M	1.02290047	0.551	0.447	0.002	N28HT	72	70.36666667	.	.	.	158	65	95	676.4	.	.	1.966666667	23.53666667	16.48666667	125.51	16.4	70.33333333	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	69	98.04	.	.	.	235	74	103.4	895.4	.	.	1.78	27.52	14.638	137.4	17.88	98.18	0.775	13.38872807	.	.	.	7.35	7.35	3.47	54.405	.	.	0.098333334	0.401732454	1.175162282	2.938881579	1.626315789	13.48969298
